803s125:, TX, Ack, A, 35,,
804s060:, TX, Ping, 1, 36,,
804s093:, RX, AnchorResponse, A, 36, -65
804s125:, TX, Ack, A, 36,,
805s060:, TX, Ping, 1, 37,,
805s093:, RX, AnchorResponse, A, 37, -64
805s125:, TX, Ack, A, 37,,
806s060:, TX, Ping, 1, 38,,
806s093:, RX, AnchorResponse, A, 38, -65
806s125:, TX, Ack, A, 38,,
807s060:, TX, Ping, 1, 39,,
807s093:, RX, AnchorResponse, A, 39, -66
807s125:, TX, Ack, A, 39,,
808s060:, TX, Ping, 1, 40,,
808s093:, RX, AnchorResponse, A, 40, -66
808s125:, TX, Ack, A, 40,,
809s060:, TX, Ping, 1, 41,,
809s093:, RX, AnchorResponse, A, 41, -65
809s125:, TX, Ack, A, 41,,
810s060:, TX, Ping, 1, 42,,
810s093:, RX, AnchorResponse, A, 42, -64
810s125:, TX, Ack, A, 42,,
811s060:, TX, Ping, 1, 43,,
811s093:, RX, AnchorResponse, A, 43, -64
811s125:, TX, Ack, A, 43,,
812s060:, TX, Ping, 1, 44,,
812s093:, RX, AnchorResponse, A, 44, -64
812s125:, TX, Ack, A, 44,,
813s060:, TX, Ping, 1, 45,,
813s093:, RX, AnchorResponse, A, 45, -63
813s125:, TX, Ack, A, 45,,
814s060:, TX, Ping, 1, 46,,
814s093:, RX, AnchorResponse, A, 46, -64
814s125:, TX, Ack, A, 46,,
815s060:, TX, Ping, 1, 47,,
815s093:, RX, AnchorResponse, A, 47, -63
815s125:, TX, Ack, A, 47,,
816s060:, TX, Ping, 1, 48,,
816s093:, RX, AnchorResponse, A, 48, -63
816s125:, TX, Ack, A, 48,,
817s060:, TX, Ping, 1, 49,,
817s093:, RX, AnchorResponse, A, 49, -63
817s125:, TX, Ack, A, 49,,
818s060:, TX, Ping, 1, 50,,
818s093:, RX, AnchorResponse, A, 50, -63
818s125:, TX, Ack, A, 50,,
819s060:, TX, Ping, 1, 51,,
819s093:, RX, AnchorResponse, A, 51, -63
819s125:, TX, Ack, A, 51,,
820s060:, TX, Ping, 1, 52,,
820s093:, RX, AnchorResponse, A, 52, -63
820s125:, TX, Ack, A, 52,,
821s060:, TX, Ping, 1, 53,,
821s093:, RX, AnchorResponse, A, 53, -63
821s125:, TX, Ack, A, 53,,
822s060:, TX, Ping, 1, 54,,
822s093:, RX, AnchorResponse, A, 54, -63
822s125:, TX, Ack, A, 54,,
823s060:, TX, Ping, 1, 55,,
823s093:, RX, AnchorResponse, A, 55, -63
823s125:, TX, Ack, A, 55,,
824s060:, TX, Ping, 1, 56,,
824s093:, RX, AnchorResponse, A, 56, -63
824s125:, TX, Ack, A, 56,,
825s060:, TX, Ping, 1, 57,,
825s093:, RX, AnchorResponse, A, 57, -63
825s125:, TX, Ack, A, 57,,
826s060:, TX, Ping, 1, 58,,
826s093:, RX, AnchorResponse, A, 58, -63
826s125:, TX, Ack, A, 58,,
827s060:, TX, Ping, 1, 59,,
827s093:, RX, AnchorResponse, A, 59, -63
827s125:, TX, Ack, A, 59,,
828s060:, TX, Ping, 1, 60,,
828s093:, RX, AnchorResponse, A, 60, -63
828s125:, TX, Ack, A, 60,,
829s060:, TX, Ping, 1, 61,,
829s093:, RX, AnchorResponse, A, 61, -63
829s125:, TX, Ack, A, 61,,
830s060:, TX, Ping, 1, 62,,
830s093:, RX, AnchorResponse, A, 62, -63
830s125:, TX, Ack, A, 62,,
831s060:, TX, Ping, 1, 63,,
831s093:, RX, AnchorResponse, A, 63, -63
831s125:, TX, Ack, A, 63,,
832s060:, TX, Ping, 1, 64,,
832s093:, RX, AnchorResponse, A, 64, -63
832s125:, TX, Ack, A, 64,,
833s060:, TX, Ping, 1, 65,,
833s093:, RX, AnchorResponse, A, 65, -63
833s125:, TX, Ack, A, 65,,
834s060:, TX, Ping, 1, 66,,
834s093:, RX, AnchorResponse, A, 66, -63
834s125:, TX, Ack, A, 66,,
835s060:, TX, Ping, 1, 67,,
835s093:, RX, AnchorResponse, A, 67, -63
835s125:, TX, Ack, A, 67,,
836s060:, TX, Ping, 1, 68,,
836s093:, RX, AnchorResponse, A, 68, -63
